# generated from db/design.db — do not edit by hand
# what one level costs in materials, expanded per level and edited there: the build class is a template, this is the data
# amounts are in the resource's own unit — brick in pieces, cement in tonnes, boards in cubic metres
# equipment and spare parts are ordinary material rows: without them a mechanised unit is not built
unit,level,resource,amount
school,1,spare_part,5
school,2,board,25
school,2,stone,20
school,2,sand,35
school,2,brick,14000
school,2,roofing,40
school,2,glass,60
school,2,cement,12
school,2,steel,3
school,2,insulation,20
school,2,spare_part,12
school,3,board,12
school,3,sand,15
school,3,brick,6000
school,3,roofing,20
school,3,glass,25
school,3,cement,5
school,3,spare_part,6
boarding_wing,1,board,15
boarding_wing,1,sand,12
boarding_wing,1,brick,5000
boarding_wing,1,roofing,15
boarding_wing,1,glass,25
boarding_wing,1,cement,5
boarding_wing,1,insulation,8
boarding_wing,1,spare_part,6
boarding_wing,2,board,8
boarding_wing,2,sand,6
boarding_wing,2,brick,2000
boarding_wing,2,roofing,8
boarding_wing,2,glass,10
boarding_wing,2,cement,2
boarding_wing,2,spare_part,5
culture_house,1,straw,4
culture_house,1,log,60
culture_house,1,board,8
culture_house,1,stone,5
culture_house,1,clay,3
culture_house,1,glass,6
culture_house,2,board,25
culture_house,2,stone,20
culture_house,2,sand,35
culture_house,2,brick,14000
culture_house,2,roofing,40
culture_house,2,glass,60
culture_house,2,cement,12
culture_house,2,steel,3
culture_house,2,insulation,20
culture_house,2,spare_part,12
culture_house,3,board,40
culture_house,3,stone,30
culture_house,3,sand,55
culture_house,3,brick,22000
culture_house,3,roofing,60
culture_house,3,glass,100
culture_house,3,cement,20
culture_house,3,steel,6
culture_house,3,insulation,30
culture_house,3,spare_part,15
feldsher_post,1,board,15
feldsher_post,1,sand,12
feldsher_post,1,brick,5000
feldsher_post,1,roofing,15
feldsher_post,1,glass,25
feldsher_post,1,cement,5
feldsher_post,1,insulation,8
feldsher_post,1,spare_part,6
hospital,1,board,25
hospital,1,stone,20
hospital,1,sand,35
hospital,1,brick,14000
hospital,1,roofing,40
hospital,1,glass,60
hospital,1,cement,12
hospital,1,steel,3
hospital,1,insulation,20
hospital,1,spare_part,12
kindergarten,1,board,25
kindergarten,1,stone,20
kindergarten,1,sand,35
kindergarten,1,brick,14000
kindergarten,1,roofing,40
kindergarten,1,glass,60
kindergarten,1,cement,12
kindergarten,1,steel,3
kindergarten,1,insulation,20
kindergarten,1,spare_part,12
kindergarten,2,board,12
kindergarten,2,sand,15
kindergarten,2,brick,6000
kindergarten,2,roofing,20
kindergarten,2,glass,25
kindergarten,2,cement,5
kindergarten,2,spare_part,6
selpo,1,straw,4
selpo,1,log,60
selpo,1,board,8
selpo,1,stone,5
selpo,1,clay,3
selpo,1,glass,6
canteen,1,board,25
canteen,1,stone,20
canteen,1,sand,35
canteen,1,brick,14000
canteen,1,roofing,40
canteen,1,glass,60
canteen,1,cement,12
canteen,1,steel,3
canteen,1,insulation,20
canteen,1,spare_part,12
canteen,2,board,40
canteen,2,stone,30
canteen,2,sand,55
canteen,2,brick,22000
canteen,2,roofing,60
canteen,2,glass,100
canteen,2,cement,20
canteen,2,steel,6
canteen,2,insulation,30
canteen,2,spare_part,15
buffet,1,board,15
buffet,1,sand,12
buffet,1,brick,5000
buffet,1,roofing,15
buffet,1,glass,25
buffet,1,cement,5
buffet,1,insulation,8
buffet,1,spare_part,6
restaurant,1,board,25
restaurant,1,stone,20
restaurant,1,sand,35
restaurant,1,brick,14000
restaurant,1,roofing,40
restaurant,1,glass,60
restaurant,1,cement,12
restaurant,1,steel,3
restaurant,1,insulation,20
restaurant,1,spare_part,12
summer_veranda,1,board,25
summer_veranda,1,stone,20
summer_veranda,1,sand,35
summer_veranda,1,brick,14000
summer_veranda,1,roofing,40
summer_veranda,1,glass,60
summer_veranda,1,cement,12
summer_veranda,1,steel,3
summer_veranda,1,insulation,20
summer_veranda,1,spare_part,12
small_canteen,1,board,15
small_canteen,1,sand,12
small_canteen,1,brick,5000
small_canteen,1,roofing,15
small_canteen,1,glass,25
small_canteen,1,cement,5
small_canteen,1,insulation,8
small_canteen,1,spare_part,6
field_canteen,1,straw,4
field_canteen,1,log,60
field_canteen,1,board,8
field_canteen,1,stone,5
field_canteen,1,clay,3
field_canteen,1,glass,6
beer_stall,1,board,15
beer_stall,1,sand,12
beer_stall,1,brick,5000
beer_stall,1,roofing,15
beer_stall,1,glass,25
beer_stall,1,cement,5
beer_stall,1,insulation,8
beer_stall,1,spare_part,6
road_canteen,1,board,25
road_canteen,1,stone,20
road_canteen,1,sand,35
road_canteen,1,brick,14000
road_canteen,1,roofing,40
road_canteen,1,glass,60
road_canteen,1,cement,12
road_canteen,1,steel,3
road_canteen,1,insulation,20
road_canteen,1,spare_part,12
bathhouse,1,straw,4
bathhouse,1,log,60
bathhouse,1,board,8
bathhouse,1,stone,5
bathhouse,1,clay,3
bathhouse,1,glass,6
bathhouse,2,straw,2
bathhouse,2,log,30
bathhouse,2,board,6
bathhouse,2,glass,4
barter_place,1,straw,4
barter_place,1,log,60
barter_place,1,board,8
barter_place,1,stone,5
barter_place,1,clay,3
barter_place,1,glass,6
kolkhoz_market,1,board,15
kolkhoz_market,1,sand,12
kolkhoz_market,1,brick,5000
kolkhoz_market,1,roofing,15
kolkhoz_market,1,glass,25
kolkhoz_market,1,cement,5
kolkhoz_market,1,insulation,8
kolkhoz_market,1,spare_part,6
stadium,2,straw,2
stadium,2,log,25
stadium,3,straw,4
stadium,3,log,60
stadium,3,board,8
stadium,3,stone,5
stadium,3,clay,3
stadium,3,glass,6
stadium,4,straw,4
stadium,4,log,60
stadium,4,board,8
stadium,4,stone,5
stadium,4,clay,3
stadium,4,glass,6
pioneer_camp,1,straw,2
pioneer_camp,1,log,25
pioneer_camp,2,straw,8
pioneer_camp,2,log,130
pioneer_camp,2,board,20
pioneer_camp,2,stone,12
pioneer_camp,2,clay,6
pioneer_camp,2,glass,16
pioneer_camp,2,spare_part,5
pioneer_camp,3,board,12
pioneer_camp,3,sand,15
pioneer_camp,3,brick,6000
pioneer_camp,3,roofing,20
pioneer_camp,3,glass,25
pioneer_camp,3,cement,5
pioneer_camp,3,spare_part,6
rest_house,1,board,40
rest_house,1,stone,30
rest_house,1,sand,55
rest_house,1,brick,22000
rest_house,1,roofing,60
rest_house,1,glass,100
rest_house,1,cement,20
rest_house,1,steel,6
rest_house,1,insulation,30
rest_house,1,spare_part,15
rest_house,2,board,20
rest_house,2,sand,45
rest_house,2,cement,18
rest_house,2,steel,6
rest_house,2,reinforced_concrete,200
rest_house,2,spare_part,14
registry_office,1,board,15
registry_office,1,sand,12
registry_office,1,brick,5000
registry_office,1,roofing,15
registry_office,1,glass,25
registry_office,1,cement,5
registry_office,1,insulation,8
registry_office,1,spare_part,6
registry_office,2,board,8
registry_office,2,sand,6
registry_office,2,brick,2000
registry_office,2,roofing,8
registry_office,2,glass,10
registry_office,2,cement,2
registry_office,2,spare_part,5
police_post,1,straw,4
police_post,1,log,60
police_post,1,board,8
police_post,1,stone,5
police_post,1,clay,3
police_post,1,glass,6
police_post,2,board,12
police_post,2,sand,15
police_post,2,brick,6000
police_post,2,roofing,20
police_post,2,glass,25
police_post,2,cement,5
police_post,2,spare_part,6
agricultural_college,1,board,25
agricultural_college,1,stone,20
agricultural_college,1,sand,35
agricultural_college,1,brick,14000
agricultural_college,1,roofing,40
agricultural_college,1,glass,60
agricultural_college,1,cement,12
agricultural_college,1,steel,3
agricultural_college,1,insulation,20
agricultural_college,1,spare_part,12
horse_yard,1,straw,2
horse_yard,1,log,25
horse_yard,2,straw,8
horse_yard,2,log,130
horse_yard,2,board,20
horse_yard,2,stone,12
horse_yard,2,clay,6
horse_yard,2,glass,16
horse_yard,2,spare_part,5
horse_yard,3,board,25
horse_yard,3,stone,20
horse_yard,3,sand,35
horse_yard,3,brick,14000
horse_yard,3,roofing,40
horse_yard,3,glass,60
horse_yard,3,cement,12
horse_yard,3,steel,3
horse_yard,3,insulation,20
horse_yard,3,spare_part,12
mts,1,board,25
mts,1,stone,20
mts,1,sand,35
mts,1,brick,14000
mts,1,roofing,40
mts,1,glass,60
mts,1,cement,12
mts,1,steel,3
mts,1,insulation,20
mts,1,spare_part,12
mts,2,board,8
mts,2,cement,2
mts,2,steel,3
mts,2,spare_part,5
mts,2,industrial_equipment,3
mts,3,board,12
mts,3,sand,15
mts,3,brick,6000
mts,3,roofing,20
mts,3,glass,25
mts,3,cement,5
mts,3,spare_part,6
mts,4,board,8
mts,4,cement,2
mts,4,steel,3
mts,4,spare_part,5
mts,4,industrial_equipment,3
machine_park,2,stone,20
machine_park,2,sand,15
bus_stop,1,board,25
bus_stop,1,stone,20
bus_stop,1,sand,35
bus_stop,1,brick,14000
bus_stop,1,roofing,40
bus_stop,1,glass,60
bus_stop,1,cement,12
bus_stop,1,steel,3
bus_stop,1,insulation,20
bus_stop,1,spare_part,12
farm_stop,1,straw,4
farm_stop,1,log,60
farm_stop,1,board,8
farm_stop,1,stone,5
farm_stop,1,clay,3
farm_stop,1,glass,6
substation,1,board,15
substation,1,sand,12
substation,1,brick,5000
substation,1,roofing,15
substation,1,glass,25
substation,1,cement,5
substation,1,insulation,8
substation,1,spare_part,6
road,2,stone,20
road,2,sand,15
road,3,stone,10
road,3,sand,20
road,3,cement,6
bridge,1,straw,4
bridge,1,log,60
bridge,1,board,8
bridge,1,stone,5
bridge,1,clay,3
bridge,1,glass,6
phone_line,1,board,15
phone_line,1,sand,12
phone_line,1,brick,5000
phone_line,1,roofing,15
phone_line,1,glass,25
phone_line,1,cement,5
phone_line,1,insulation,8
phone_line,1,spare_part,6
call_office,1,board,15
call_office,1,sand,12
call_office,1,brick,5000
call_office,1,roofing,15
call_office,1,glass,25
call_office,1,cement,5
call_office,1,insulation,8
call_office,1,spare_part,6
wooden_house,1,straw,3
wooden_house,1,log,35
wooden_house,1,board,4
wooden_house,1,clay,2
wooden_house,2,straw,4
wooden_house,2,log,63
wooden_house,2,board,8
wooden_house,2,clay,3
wooden_house,2,glass,6
wooden_house,3,straw,4
wooden_house,3,log,60
wooden_house,3,board,8
wooden_house,3,stone,9
wooden_house,3,clay,3
wooden_house,3,glass,6
wooden_house,4,straw,2
wooden_house,4,log,30
wooden_house,4,board,6
wooden_house,4,glass,4
wooden_house,5,straw,2
wooden_house,5,log,30
wooden_house,5,board,6
wooden_house,5,glass,4
wooden_house,6,straw,2
wooden_house,6,log,30
wooden_house,6,board,6
wooden_house,6,glass,4
brick_house,1,board,15
brick_house,1,sand,12
brick_house,1,brick,5000
brick_house,1,roofing,15
brick_house,1,glass,25
brick_house,1,cement,5
brick_house,1,insulation,8
brick_house,1,spare_part,6
brick_house,2,board,8
brick_house,2,sand,6
brick_house,2,brick,2000
brick_house,2,roofing,8
brick_house,2,glass,10
brick_house,2,cement,2
brick_house,2,spare_part,5
brick_house,3,board,8
brick_house,3,sand,6
brick_house,3,brick,2000
brick_house,3,roofing,8
brick_house,3,glass,10
brick_house,3,cement,2
brick_house,3,spare_part,5
brick_house,4,board,8
brick_house,4,sand,6
brick_house,4,brick,2000
brick_house,4,roofing,8
brick_house,4,glass,10
brick_house,4,cement,2
brick_house,4,spare_part,5
barrack,1,straw,4
barrack,1,log,60
barrack,1,board,8
barrack,1,stone,5
barrack,1,clay,3
barrack,1,glass,6
specialist_dorm,1,board,15
specialist_dorm,1,sand,12
specialist_dorm,1,brick,5000
specialist_dorm,1,roofing,15
specialist_dorm,1,glass,25
specialist_dorm,1,cement,5
specialist_dorm,1,insulation,8
specialist_dorm,1,spare_part,6
builder_dorm,1,board,15
builder_dorm,1,sand,12
builder_dorm,1,brick,5000
builder_dorm,1,roofing,15
builder_dorm,1,glass,25
builder_dorm,1,cement,5
builder_dorm,1,insulation,8
builder_dorm,1,spare_part,6
fire_post,1,straw,4
fire_post,1,log,60
fire_post,1,board,8
visitor_dorm,1,board,15
fire_post,1,stone,5
fire_post,1,clay,3
visitor_dorm,1,sand,12
visitor_dorm,1,brick,5000
visitor_dorm,1,roofing,15
fire_post,1,glass,6
visitor_dorm,1,glass,25
visitor_dorm,1,cement,5
visitor_dorm,1,insulation,8
visitor_dorm,1,spare_part,6
fire_post,2,board,25
fire_post,2,stone,20
fire_post,2,sand,35
fire_post,2,brick,14000
fire_post,2,roofing,40
fire_post,2,glass,60
fire_post,2,cement,12
fire_post,2,steel,3
fire_post,2,insulation,20
fire_post,2,spare_part,12
farm_office,1,straw,4
farm_office,1,log,60
farm_office,1,board,8
farm_office,1,stone,5
farm_office,1,clay,3
farm_office,1,glass,6
farm_office,2,board,25
farm_office,2,stone,20
farm_office,2,sand,35
farm_office,2,brick,14000
farm_office,2,roofing,40
farm_office,2,glass,60
farm_office,2,cement,12
farm_office,2,steel,3
farm_office,2,insulation,20
farm_office,2,spare_part,12
farm_office,3,board,40
farm_office,3,stone,30
farm_office,3,sand,55
farm_office,3,brick,22000
farm_office,3,roofing,60
farm_office,3,glass,100
farm_office,3,cement,20
farm_office,3,steel,6
farm_office,3,insulation,30
farm_office,3,spare_part,15
village_council,1,board,15
village_council,1,sand,12
village_council,1,brick,5000
village_council,1,roofing,15
village_council,1,glass,25
village_council,1,cement,5
village_council,1,insulation,8
village_council,1,spare_part,6
cemetery,2,straw,2
cemetery,2,log,25
cemetery,3,straw,4
cemetery,3,log,60
cemetery,3,board,8
cemetery,3,stone,5
cemetery,3,clay,3
cemetery,3,glass,6
water_intake,1,stone,10
water_intake,1,sand,20
water_intake,1,cement,6
water_intake,1,industrial_equipment,2
