# generated from db/design.db — do not edit by hand
# where timber can be taken (design/economy/timber.md §8a), baked by tools/map.py stands from the grove, forest, biome and shelterbelt contours of db/map.db; tools/map.py check fails while the bake is stale
# kind grove and shelterbelt: stock = area_ha x timber_grove_stock_m3_per_ha / timber_shelterbelt_stock_m3_per_ha, felled to nothing, and the cleared land is free land (an orchard may go on it). kind forest_old: only the yearly flow of old trunks, area_ha x timber_forest_old_m3_per_ha_year, logs times timber_old_log_share_factor; the living massif is untouchable
# x_m, y_m: the loading point — the stand's ground nearest a road, metres from the south-west corner; walk and haul are measured to it
# log_share: the share of the stock that is logs, the rest firewood. Derived here from the biome's species and their log_yield against timber_log_share_* in world_params.csv; a stand with no biome is 'part'. The map stores the biome, never the number
# a long grove is cut into pieces of about 500 m and a shelterbelt into lengths of about 1 km, so that one loading point does not lie about the haul
key,kind,source_key,x_m,y_m,area_ha,log_share
forest_north_old_2_7,forest_old,forest_north,2950,7650,79,0.5125
forest_north_old_2_8,forest_old,forest_north,2950,8050,100,0.5125
forest_north_old_2_9,forest_old,forest_north,2950,9650,100,0.5125
forest_north_old_3_10,forest_old,forest_north,3950,10050,100,0.5175
forest_north_old_3_11,forest_old,forest_north,3950,11050,100,0.5175
forest_north_old_3_7,forest_old,forest_north,3350,7950,7,0.365
forest_north_old_3_8,forest_old,forest_north,3750,8350,85,0.15
forest_north_old_3_9,forest_old,forest_north,3950,9650,100,0.5175
forest_north_old_4_10,forest_old,forest_north,4950,10050,100,0.5175
forest_north_old_4_11,forest_old,forest_north,4950,11050,100,0.5175
forest_north_old_4_8,forest_old,forest_north,4550,8950,17,0.5175
forest_north_old_4_9,forest_old,forest_north,4950,9650,97,0.5175
forest_north_old_5_10,forest_old,forest_north,5950,10050,100,0.5175
forest_north_old_5_11,forest_old,forest_north,5950,11050,100,0.5175
forest_north_old_5_9,forest_old,forest_north,5450,9750,51,0.5175
forest_north_old_6_10,forest_old,forest_north,6950,10050,100,0.33
forest_north_old_6_11,forest_old,forest_north,6950,11050,100,0.33
forest_north_old_6_9,forest_old,forest_north,6050,9850,17,0.33
forest_north_old_7_10,forest_old,forest_north,7250,10150,47,0.33
forest_north_old_7_11,forest_old,forest_north,7650,11850,57,0.33
forest_south_old_0_0,forest_old,forest_south,850,950,100,0.5125
forest_south_old_0_1,forest_old,forest_south,750,1950,100,0.5125
forest_south_old_0_2,forest_old,forest_south,450,2050,100,0.5125
forest_south_old_0_3,forest_old,forest_south,50,3050,99,0.5125
forest_south_old_0_4,forest_old,forest_south,250,4050,38,0.5125
forest_south_old_1_0,forest_old,forest_south,1050,950,100,0.5125
forest_south_old_1_1,forest_old,forest_south,1150,1950,100,0.5125
forest_south_old_1_2,forest_old,forest_south,1350,2050,100,0.5125
forest_south_old_1_3,forest_old,forest_south,1750,3050,100,0.5125
forest_south_old_1_4,forest_old,forest_south,1750,4050,99,0.5125
forest_south_old_1_5,forest_old,forest_south,1750,5050,23,0.5125
forest_south_old_2_0,forest_old,forest_south,2550,950,100,0.33
forest_south_old_2_1,forest_old,forest_south,2550,1950,100,0.33
forest_south_old_2_2,forest_old,forest_south,2150,2050,100,0.33
forest_south_old_2_3,forest_old,forest_south,2050,3050,100,0.33
forest_south_old_2_4,forest_old,forest_south,2050,4050,100,0.33
forest_south_old_2_5,forest_old,forest_south,2950,5950,94,0.33
forest_south_old_2_6,forest_old,forest_south,2950,6550,21,0.33
forest_south_old_3_0,forest_old,forest_south,3950,950,100,0.33
forest_south_old_3_1,forest_old,forest_south,3950,1950,100,0.33
forest_south_old_3_2,forest_old,forest_south,3750,2050,91,0.33
forest_south_old_3_3,forest_old,forest_south,3350,3050,100,0.33
forest_south_old_3_4,forest_old,forest_south,3350,4050,87,0.33
forest_south_old_3_5,forest_old,forest_south,3650,5950,76,0.33
forest_south_old_3_6,forest_old,forest_south,3650,6850,69,0.365
forest_south_old_3_7,forest_old,forest_south,3950,7650,41,0.365
forest_south_old_3_8,forest_old,forest_south,3950,8050,19,0.365
forest_south_old_4_0,forest_old,forest_south,4450,950,70,0.33
forest_south_old_4_1,forest_old,forest_south,4050,1850,28,0.33
forest_south_old_4_3,forest_old,forest_south,4050,3150,9,0.33
forest_south_old_4_7,forest_old,forest_south,4150,7650,11,0.365
forest_south_old_4_8,forest_old,forest_south,4050,8050,5,0.365
forest_southeast_old_10_0,forest_old,forest_southeast,10050,50,9,0.33
forest_southeast_old_8_0,forest_old,forest_southeast,8250,50,9,0.33
forest_southeast_old_9_0,forest_old,forest_southeast,9050,50,11,0.33
grove_east_border_1,grove,grove_east_border,11746.5,1745.8,10.5,0.25
grove_east_border_2,grove,grove_east_border,11721.5,2420.8,13.38,0.25
grove_east_border_3,grove,grove_east_border,11721.5,2495.8,15,0.25
grove_east_border_4,grove,grove_east_border,11671.5,3445.8,16.75,0.25
grove_east_border_5,grove,grove_east_border,11721.5,3945.8,16.44,0.25
grove_east_border_6,grove,grove_east_border,11771.5,4270.8,8.62,0.25
grove_hill_1_1,grove,grove_hill_1,8979.2,821.2,9.88,0.25
grove_hill_1_2,grove,grove_hill_1,9479.2,896.2,19.88,0.25
grove_hill_1_3,grove,grove_hill_1,9979.2,896.2,1.31,0.25
grove_hill_2_1,grove,grove_hill_2,10426.5,821.2,17.12,0.25
grove_hill_2_2,grove,grove_hill_2,10851.5,896.2,25.12,0.25
grove_hill_2_3,grove,grove_hill_2,11351.5,896.2,25.44,0.25
grove_hill_2_4,grove,grove_hill_2,11851.5,896.2,1.5,0.25
lakeside_grove_1,grove,lakeside_grove,10471.4,7535.8,13.44,0.25
lakeside_grove_2,grove,lakeside_grove,10921.4,7385.8,28.44,0.25
lakeside_grove_3,grove,lakeside_grove,11146.4,7535.8,45.38,0.25
lakeside_grove_4,grove,lakeside_grove,11571.4,7410.8,19.5,0.25
north_grove_1,grove,north_grove,8121.5,10337.5,42.62,0.25
north_grove_2,grove,north_grove,7996.5,10887.5,48.12,0.25
north_grove_3,grove,north_grove,8121.5,11712.5,45.75,0.25
north_grove_4,grove,north_grove,8146.5,11962.5,15.31,0.25
road_east_belt_1,shelterbelt,road_east:shelterbelt,7655.6,7046.7,4.44,0.25
road_east_belt_2,shelterbelt,road_east:shelterbelt,8765.2,7115.6,4.49,0.25
road_east_belt_3,shelterbelt,road_east:shelterbelt,9794.2,7245,4.43,0.25
road_east_belt_4,shelterbelt,road_east:shelterbelt,10790.4,7353.3,4.41,0.25
road_east_belt_5,shelterbelt,road_east:shelterbelt,11485.9,7383.8,1.64,0.25
road_west_belt_1,shelterbelt,road_west:shelterbelt,6938.5,1993.4,4.45,0.25
road_west_belt_2,shelterbelt,road_west:shelterbelt,5899.9,1972.2,4.54,0.25
road_west_belt_3,shelterbelt,road_west:shelterbelt,4894.5,1990.6,4.5,0.25
road_west_belt_4,shelterbelt,road_west:shelterbelt,4261.7,2008.3,0.63,0.25
trunk_road_belt_1,shelterbelt,trunk_road:shelterbelt,7530.3,9765.3,4.43,0.25
trunk_road_belt_2,shelterbelt,trunk_road:shelterbelt,6983.7,8820,4.46,0.25
trunk_road_belt_3,shelterbelt,trunk_road:shelterbelt,7112.2,7885.2,4.47,0.25
trunk_road_belt_4,shelterbelt,trunk_road:shelterbelt,7265.5,6843.3,4.41,0.25
trunk_road_belt_5,shelterbelt,trunk_road:shelterbelt,7326.3,5844.4,4.4,0.25
trunk_road_belt_6,shelterbelt,trunk_road:shelterbelt,7348.1,5249,0.49,0.25
