# generated from db/map.db — do not edit by hand
# metres from the map's SOUTH-WEST corner, x east, y north
# rivers and brooks as drawn lines, half_w_m = half the channel's
# width at the point. A road crosses the RIVER only at a bridge, a
# dam or a point with mark=ford; a BROOK is fordable anywhere (human,
# 25 September 2026: «Через ручьи есть броды этого достаточно» — the
# rule is a STUB until a brook grows a steep or deep stretch), and
# a stone arch carries the road where the map already has one.
line,kind,seq,x_m,y_m,half_w_m,mark
river,river,246,2085.6,6942.3,12.83,
river,river,247,2093.8,6951.5,12.86,
river,river,248,2102.3,6960.4,12.89,
river,river,249,2110.8,6969.3,12.92,
river,river,250,2119.5,6978.0,12.95,
river,river,251,2128.3,6986.5,12.97,
river,river,252,2137.3,6994.9,13.00,
river,river,253,2146.4,7003.2,13.03,
river,river,254,2155.6,7011.3,13.06,
river,river,255,2165.0,7019.3,13.08,
river,river,256,2174.5,7027.1,13.11,
river,river,257,2184.1,7034.8,13.14,
river,river,258,2193.9,7042.3,13.17,
river,river,259,2203.8,7049.7,13.19,
river,river,260,2213.9,7056.9,13.22,
river,river,261,2224.1,7064.0,13.25,
river,river,262,2234.4,7071.0,13.28,
river,river,263,2244.8,7077.8,13.30,
river,river,264,2255.4,7084.4,13.33,
river,river,265,2265.9,7090.4,13.36,
river,river,266,2276.1,7095.4,13.38,
river,river,267,2286.1,7099.6,13.41,
river,river,268,2295.9,7102.9,13.44,
river,river,269,2305.6,7105.7,13.46,
river,river,270,2315.2,7107.9,13.49,
river,river,271,2324.9,7109.7,13.52,
river,river,272,2334.7,7111.2,13.54,
river,river,273,2344.6,7112.6,13.57,
river,river,274,2354.6,7114.0,13.60,
river,river,275,2365.0,7115.5,13.63,
river,river,276,2375.6,7117.2,13.66,
river,river,277,2386.6,7119.2,13.69,
river,river,278,2398.1,7121.8,13.72,
river,river,279,2410.1,7124.9,13.75,
river,river,280,2422.6,7128.7,13.79,
river,river,281,2435.7,7133.4,13.82,
river,river,282,2449.5,7139.0,13.85,
river,river,283,2464.1,7145.7,13.89,
river,river,284,2479.4,7153.7,13.92,
river,river,285,2495.6,7162.9,13.95,
river,river,286,2512.8,7173.7,13.98,
river,river,287,2530.9,7186.0,13.99,
river,river,288,2550.0,7200.0,14.00,ford
river,river,289,2570.6,7216.1,13.99,
river,river,290,2592.9,7234.6,13.97,
river,river,291,2616.7,7255.2,13.92,
river,river,292,2642.0,7277.8,13.85,
river,river,293,2668.4,7302.0,13.75,
river,river,294,2696.0,7327.7,13.63,
river,river,295,2724.5,7354.7,13.48,
river,river,296,2753.7,7382.7,13.32,
river,river,297,2783.6,7411.5,13.13,
river,river,298,2814.0,7441.0,12.93,
river,river,299,2844.6,7470.9,12.71,
river,river,300,2875.4,7501.0,12.49,
river,river,301,2906.2,7531.1,12.28,
river,river,302,2936.8,7561.0,12.06,
river,river,303,2967.1,7590.4,11.86,
river,river,304,2997.0,7619.2,11.68,
river,river,305,3026.2,7647.1,11.51,
river,river,306,3054.6,7673.9,11.36,
river,river,307,3082.1,7699.4,11.24,
river,river,308,3108.5,7723.4,11.15,
river,river,309,3133.6,7745.7,11.08,
river,river,310,3157.4,7766.0,11.03,
river,river,311,3179.5,7784.2,11.01,
river,river,312,3200.0,7800.0,11.00,
river,river,313,3219.0,7813.6,11.05,
river,river,314,3236.9,7825.5,11.17,
river,river,315,3253.8,7835.8,11.33,
river,river,316,3269.8,7844.5,11.53,
river,river,317,3284.9,7851.9,11.74,
river,river,318,3299.1,7858.0,11.96,
river,river,319,3312.7,7863.0,12.18,
river,river,320,3325.5,7867.0,12.40,
river,river,321,3337.7,7870.1,12.61,
river,river,322,3349.3,7872.5,12.82,
river,river,323,3360.4,7874.2,13.02,
river,river,324,3371.1,7875.5,13.22,
river,river,325,3381.4,7876.4,13.41,
river,river,326,3391.4,7877.1,13.60,
river,river,327,3401.2,7877.7,13.78,
river,river,328,3410.8,7878.2,13.96,
river,river,329,3420.2,7879.0,14.13,
river,river,330,3429.6,7880.0,14.30,
river,river,331,3439.0,7881.4,14.47,
river,river,332,3448.4,7883.3,14.64,
river,river,333,3458.0,7885.9,14.81,
river,river,334,3467.7,7889.3,14.98,
river,river,335,3477.8,7893.6,15.16,
river,river,336,3488.1,7898.9,15.33,
river,river,337,3498.6,7904.9,15.51,
river,river,338,3508.9,7911.0,15.68,
river,river,339,3519.1,7917.2,15.86,
river,river,340,3529.2,7923.6,16.04,
river,river,341,3539.1,7930.1,16.22,
river,river,342,3549.0,7936.8,16.40,
river,river,343,3558.7,7943.6,16.58,
river,river,344,3568.3,7950.6,16.76,
river,river,345,3577.7,7957.7,16.95,
river,river,346,3587.1,7965.0,17.13,
river,river,347,3596.3,7972.4,17.31,
river,river,348,3605.4,7980.0,17.50,
river,river,349,3614.3,7987.7,17.68,
river,river,350,3623.2,7995.6,17.86,
river,river,351,3631.9,8003.6,18.04,
river,river,352,3640.5,8011.7,18.23,
river,river,353,3649.0,8020.0,18.41,
river,river,354,3657.3,8028.5,18.59,
river,river,355,3665.5,8037.0,18.77,
river,river,356,3673.6,8045.8,18.95,
river,river,357,3681.6,8054.7,19.13,
river,river,358,3689.5,8063.7,19.31,
river,river,359,3697.2,8072.9,19.49,
river,river,360,3704.8,8082.2,19.67,
river,river,361,3712.2,8091.8,19.85,
river,river,362,3719.4,8101.6,20.05,
river,river,363,3726.3,8111.7,20.26,
river,river,364,3733.1,8122.1,20.47,
river,river,365,3739.6,8132.8,20.70,
river,river,366,3746.0,8143.6,20.93,
river,river,367,3752.2,8154.6,21.17,
river,river,368,3758.3,8165.8,21.41,
river,river,369,3764.2,8177.2,21.65,
river,river,370,3770.0,8188.6,21.90,
river,river,371,3775.8,8200.2,22.13,
river,river,372,3781.5,8211.9,22.37,
river,river,373,3787.1,8223.6,22.59,
river,river,374,3792.7,8235.3,22.81,
river,river,375,3798.2,8247.1,23.01,
river,river,376,3803.8,8258.8,23.20,
river,river,377,3809.3,8270.6,23.38,
river,river,378,3814.9,8282.2,23.53,
river,river,379,3820.6,8293.8,23.67,
river,river,380,3826.3,8305.4,23.79,
river,river,381,3832.0,8316.7,23.88,
river,river,382,3837.9,8328.0,23.94,
river,river,383,3843.9,8339.1,23.99,
river,river,384,3850.0,8350.0,24.00,pool
river,river,385,3856.1,8360.9,23.99,
river,river,386,3862.2,8371.8,23.95,
river,river,387,3868.2,8382.8,23.89,
river,river,388,3874.2,8393.8,23.81,
river,river,389,3880.1,8404.9,23.71,
river,river,390,3885.9,8415.9,23.59,
river,river,391,3891.8,8427.0,23.45,
river,river,392,3897.7,8438.1,23.30,
river,river,393,3903.6,8449.1,23.14,
river,river,394,3909.5,8460.1,22.97,
river,river,395,3915.4,8471.0,22.78,
river,river,396,3921.4,8481.9,22.59,
river,river,397,3927.4,8492.6,22.40,
river,river,398,3933.6,8503.3,22.20,
river,river,399,3939.8,8513.9,21.99,
river,river,400,3946.1,8524.3,21.79,
river,river,401,3952.5,8534.5,21.59,
river,river,402,3959.1,8544.7,21.39,
river,river,403,3965.7,8554.6,21.20,
river,river,404,3972.6,8564.3,21.01,
river,river,405,3979.6,8573.9,20.83,
river,river,406,3986.8,8583.2,20.65,
river,river,407,3994.1,8592.3,20.49,
river,river,408,4001.7,8601.1,20.33,
river,river,409,4009.4,8609.7,20.18,
river,river,410,4017.3,8618.2,20.03,
river,river,411,4025.2,8626.6,19.88,
river,river,412,4033.3,8634.7,19.73,
river,river,413,4041.5,8642.8,19.57,
river,river,414,4049.8,8650.7,19.42,
river,river,415,4058.2,8658.4,19.27,
river,river,416,4066.7,8666.0,19.12,
river,river,417,4075.3,8673.5,18.96,
river,river,418,4084.1,8680.8,18.81,
river,river,419,4093.0,8688.0,18.65,
river,river,420,4101.9,8695.0,18.50,
river,river,421,4111.0,8701.9,18.35,
river,river,422,4120.2,8708.6,18.19,
river,river,423,4129.5,8715.2,18.04,
river,river,424,4139.0,8721.6,17.88,
river,river,425,4148.5,8727.9,17.73,
river,river,426,4158.1,8734.0,17.58,
river,river,427,4167.9,8740.0,17.43,
river,river,428,4177.8,8745.9,17.27,
river,river,429,4187.8,8751.6,17.12,
river,river,430,4197.9,8757.1,16.97,
river,river,431,4208.1,8762.5,16.82,
river,river,432,4218.4,8767.8,16.67,
river,river,433,4228.9,8772.9,16.51,
river,river,434,4239.6,8777.7,16.35,
river,river,435,4250.6,8782.3,16.17,
river,river,436,4261.7,8786.8,15.99,
river,river,437,4273.1,8791.0,15.79,
river,river,438,4284.5,8795.1,15.60,
river,river,439,4296.2,8799.0,15.39,
river,river,440,4307.9,8802.7,15.19,
river,river,441,4319.8,8806.3,14.98,
river,river,442,4331.8,8809.7,14.78,
river,river,443,4343.8,8813.1,14.57,
river,river,444,4356.0,8816.3,14.38,
river,river,445,4368.1,8819.4,14.18,
river,river,446,4380.3,8822.4,14.00,
river,river,447,4392.5,8825.3,13.83,
river,river,448,4404.7,8828.2,13.67,
river,river,449,4416.9,8831.0,13.52,
river,river,450,4429.0,8833.8,13.39,
river,river,451,4441.1,8836.5,13.27,
river,river,452,4453.1,8839.2,13.18,
river,river,453,4465.0,8841.9,13.10,
river,river,454,4476.8,8844.6,13.05,
river,river,455,4488.5,8847.3,13.01,
river,river,456,4500.0,8850.0,13.00,
river,river,457,4511.5,8852.6,13.00,
river,river,458,4523.0,8855.0,13.00,
river,river,459,4534.6,8857.1,13.01,
river,river,460,4546.1,8859.1,13.02,
river,river,461,4557.7,8860.9,13.03,
river,river,462,4569.3,8862.6,13.04,
river,river,463,4580.9,8864.2,13.05,
river,river,464,4592.4,8865.6,13.06,
river,river,465,4604.0,8867.1,13.08,
river,river,466,4615.5,8868.5,13.09,
river,river,467,4626.9,8869.8,13.11,
river,river,468,4638.4,8871.3,13.13,
river,river,469,4649.7,8872.7,13.14,
river,river,470,4661.0,8874.2,13.16,
river,river,471,4672.2,8875.8,13.18,
river,river,472,4683.4,8877.6,13.20,
river,river,473,4694.4,8879.5,13.22,
river,river,474,4705.4,8881.5,13.23,
river,river,475,4716.3,8883.8,13.25,
river,river,476,4727.0,8886.3,13.27,
river,river,477,4737.6,8889.0,13.29,
river,river,478,4748.1,8892.0,13.30,
river,river,479,4758.4,8895.3,13.32,
river,river,480,4768.6,8898.9,13.33,
river,river,481,4778.7,8902.8,13.34,
river,river,482,4788.6,8906.8,13.36,
river,river,483,4798.5,8910.9,13.37,
river,river,484,4808.3,8915.3,13.39,
river,river,485,4818.0,8919.7,13.40,
river,river,486,4827.6,8924.3,13.41,
river,river,487,4837.2,8929.1,13.43,
river,river,488,4846.6,8934.0,13.44,
river,river,489,4855.9,8939.0,13.46,
river,river,490,4865.2,8944.2,13.47,
river,river,491,4874.4,8949.5,13.49,
river,river,492,4883.4,8955.0,13.50,
river,river,493,4892.4,8960.6,13.51,
river,river,494,4901.3,8966.4,13.53,
river,river,495,4910.1,8972.3,13.54,
river,river,496,4918.8,8978.4,13.56,
river,river,497,4927.5,8984.6,13.57,
river,river,498,4936.0,8991.0,13.59,
river,river,499,4944.4,8997.5,13.60,
river,river,500,4952.8,9004.1,13.61,
river,river,501,4961.1,9010.9,13.63,
river,river,502,4969.2,9017.9,13.64,
river,river,503,4977.3,9025.0,13.66,
river,river,504,4985.3,9032.2,13.67,
river,river,505,4993.2,9039.7,13.68,
river,river,506,5000.8,9047.6,13.70,
river,river,507,5008.4,9055.7,13.72,
river,river,508,5015.8,9064.2,13.73,
river,river,509,5023.0,9072.9,13.75,
river,river,510,5030.1,9081.9,13.77,
river,river,511,5037.1,9091.0,13.79,
river,river,512,5044.0,9100.4,13.81,
river,river,513,5050.9,9109.9,13.82,
river,river,514,5057.6,9119.5,13.84,
river,river,515,5064.3,9129.2,13.86,
river,river,516,5070.9,9138.9,13.88,
river,river,517,5077.5,9148.7,13.90,
river,river,518,5084.0,9158.5,13.91,
river,river,519,5090.5,9168.3,13.93,
river,river,520,5097.0,9178.0,13.94,
river,river,521,5103.5,9187.6,13.96,
river,river,522,5110.0,9197.1,13.97,
river,river,523,5116.6,9206.4,13.98,
river,river,524,5123.1,9215.6,13.98,
river,river,525,5129.8,9224.6,13.99,
river,river,526,5136.4,9233.3,14.00,
river,river,527,5143.2,9241.8,14.00,
river,river,528,5150.0,9250.0,14.00,ford
river,river,529,5156.8,9258.0,14.00,
river,river,530,5163.6,9266.0,13.99,
river,river,531,5170.4,9273.9,13.98,
river,river,532,5177.1,9281.8,13.96,
river,river,533,5183.7,9289.6,13.94,
river,river,534,5190.4,9297.3,13.92,
river,river,535,5197.0,9305.0,13.89,
river,river,536,5203.7,9312.5,13.87,
river,river,537,5210.3,9320.0,13.84,
river,river,538,5216.9,9327.4,13.80,
river,river,539,5223.6,9334.7,13.77,
river,river,540,5230.2,9341.9,13.74,
river,river,541,5236.9,9349.0,13.70,
river,river,542,5243.7,9356.0,13.67,
river,river,543,5250.5,9362.8,13.63,
river,river,544,5257.3,9369.6,13.59,
river,river,545,5264.2,9376.1,13.56,
river,river,546,5271.2,9382.6,13.52,
river,river,547,5278.3,9388.9,13.49,
river,river,548,5285.4,9395.0,13.45,
river,river,549,5292.6,9401.0,13.42,
river,river,550,5299.9,9406.8,13.39,
river,river,551,5307.4,9412.4,13.36,
river,river,552,5314.9,9417.9,13.33,
river,river,553,5322.5,9423.2,13.30,
river,river,554,5330.2,9428.4,13.28,
river,river,555,5338.0,9433.4,13.25,
river,river,556,5345.8,9438.3,13.22,
river,river,557,5353.7,9443.1,13.19,
river,river,558,5361.6,9447.7,13.17,
river,river,559,5369.6,9452.2,13.14,
river,river,560,5377.7,9456.6,13.11,
river,river,561,5385.8,9460.8,13.08,
river,river,562,5394.0,9464.9,13.06,
river,river,563,5402.2,9468.8,13.03,
river,river,564,5410.5,9472.6,13.00,
river,river,565,5418.9,9476.3,12.97,
river,river,566,5427.3,9479.9,12.94,
river,river,567,5435.8,9483.3,12.92,
river,river,568,5444.3,9486.6,12.89,
river,river,569,5452.9,9489.7,12.86,
river,river,570,5461.6,9492.7,12.83,
river,river,571,5470.3,9495.6,12.81,
river,river,572,5479.1,9498.3,12.78,
river,river,573,5488.0,9500.9,12.75,
river,river,574,5496.9,9503.4,12.72,
river,river,575,5505.9,9505.7,12.70,
river,river,576,5514.9,9507.9,12.67,
river,river,577,5524.0,9509.8,12.64,
river,river,578,5533.1,9511.4,12.61,
river,river,579,5542.2,9512.7,12.58,
river,river,580,5551.3,9513.6,12.55,
river,river,581,5560.5,9514.3,12.52,
river,river,582,5569.7,9514.8,12.48,
river,river,583,5578.9,9515.1,12.45,
river,river,584,5588.3,9515.2,12.41,
river,river,585,5597.6,9515.2,12.38,
river,river,586,5607.1,9515.0,12.34,
river,river,587,5616.6,9514.8,12.31,
river,river,588,5626.2,9514.6,12.27,
river,river,589,5635.9,9514.3,12.24,
river,river,590,5645.7,9514.1,12.20,
river,river,591,5655.5,9513.9,12.17,
river,river,592,5665.5,9513.8,12.14,
river,river,593,5675.6,9513.8,12.11,
river,river,594,5685.8,9514.0,12.09,
river,river,595,5696.2,9514.4,12.06,
river,river,596,5706.7,9515.0,12.04,
river,river,597,5717.3,9515.8,12.02,
river,river,598,5728.0,9516.9,12.01,
river,river,599,5738.9,9518.3,12.00,
river,river,600,5750.0,9520.0,12.00,
river,river,601,5761.3,9522.0,12.47,
river,river,602,5772.7,9524.3,13.86,
river,river,603,5784.4,9526.7,16.17,
river,river,604,5796.2,9529.3,19.34,
river,river,605,5808.3,9532.1,23.33,
river,river,606,5820.4,9535.0,28.09,
river,river,607,5832.8,9538.1,33.54,
river,river,608,5845.2,9541.3,39.61,
river,river,609,5857.7,9544.6,46.20,
river,river,610,5870.4,9548.0,53.21,
river,river,611,5883.1,9551.5,60.54,
river,river,612,5895.9,9555.1,68.07,
river,river,613,5908.8,9558.8,75.69,
river,river,614,5921.7,9562.5,83.27,
river,river,615,5934.6,9566.3,90.68,
river,river,616,5947.6,9570.1,97.80,
river,river,617,5960.5,9573.9,104.51,
river,river,618,5973.5,9577.7,110.68,
river,river,619,5986.4,9581.5,116.19,
river,river,620,5999.2,9585.3,120.92,
river,river,621,6012.1,9589.1,124.76,
river,river,622,6024.8,9592.8,127.62,
river,river,623,6037.4,9596.4,129.39,
river,river,624,6050.0,9600.0,130.00,pond
river,river,625,6062.5,9603.6,130.00,
river,river,626,6075.0,9607.1,130.00,
river,river,627,6087.5,9610.7,130.00,
river,river,628,6100.0,9614.3,130.00,
river,river,629,6112.5,9617.9,130.00,
river,river,630,6125.0,9621.6,130.00,
river,river,631,6137.5,9625.2,130.00,
river,river,632,6150.0,9628.9,130.00,
river,river,633,6162.5,9632.6,130.00,
river,river,634,6175.0,9636.3,130.00,
river,river,635,6187.5,9640.0,130.00,
river,river,636,6200.0,9643.8,130.00,
river,river,637,6212.5,9647.5,130.00,
river,river,638,6225.0,9651.3,130.00,
river,river,639,6237.5,9655.1,130.00,
river,river,640,6250.0,9658.9,130.00,
river,river,641,6262.5,9662.7,130.00,
river,river,642,6275.0,9666.6,130.00,
river,river,643,6287.5,9670.4,130.00,
river,river,644,6300.0,9674.3,130.00,
river,river,645,6312.5,9678.2,130.00,
river,river,646,6325.0,9682.1,130.00,
river,river,647,6337.5,9686.1,130.00,
river,river,648,6350.0,9690.0,130.00,pond
river,river,649,6362.5,9694.0,130.00,
