# generated from db/map.db — do not edit by hand
# metres from the map's SOUTH-WEST corner, x east, y north
# WHERE A ROAD MAY NOT BE LAID (roads stage 7): water (shallows is
# shelf water, not a ford), forest, groves, old orchards, reserves,
# ruins — each a closed polygon as the plan sheets draw it. THE
# FLOODPLAIN IS DIFFERENT: a dirt road and a path may cross it and go
# under the spring flood (roads.md §9, §11a); gravel, asphalt, an
# upgrade and any unit may not. The whole forest and the whole
# grove are refused, not single trees: a STUB the tracer must say
# aloud. Yard plots are not here — the core knows its own units.
# NO SLOPE: heights live in the layer; «no cliff» is a STUB too.
area,kind,seq,x_m,y_m
lake,lake,52,8722.3,11807.3
lake,lake,53,8725.8,11804.3
lake,lake,54,8729.5,11801.3
lake,lake,55,8733.2,11798.4
lake,lake,56,8737.0,11795.6
lake,lake,57,8741.0,11792.7
lake,lake,58,8745.0,11789.9
lake,lake,59,8749.0,11787.1
lake,lake,60,8753.1,11784.4
lake,lake,61,8757.3,11781.6
lake,lake,62,8761.4,11778.9
lake,lake,63,8765.5,11776.1
lake,lake,64,8769.6,11773.3
lake,lake,65,8773.7,11770.5
lake,lake,66,8777.7,11767.7
lake,lake,67,8781.7,11764.9
lake,lake,68,8785.6,11762.0
lake,lake,69,8789.4,11759.1
lake,lake,70,8793.0,11756.1
lake,lake,71,8796.6,11753.1
lake,lake,72,8800.0,11750.0
lake,lake,73,8803.3,11746.9
lake,lake,74,8806.4,11743.7
lake,lake,75,8809.4,11740.5
lake,lake,76,8812.4,11737.2
lake,lake,77,8815.2,11734.0
lake,lake,78,8818.0,11730.7
lake,lake,79,8820.7,11727.4
lake,lake,80,8823.3,11724.1
lake,lake,81,8826.0,11720.7
lake,lake,82,8828.6,11717.4
lake,lake,83,8831.2,11714.0
lake,lake,84,8833.8,11710.6
lake,lake,85,8836.4,11707.2
lake,lake,86,8839.0,11703.8
lake,lake,87,8841.7,11700.4
lake,lake,88,8844.4,11697.0
lake,lake,89,8847.3,11693.6
lake,lake,90,8850.2,11690.2
lake,lake,91,8853.1,11686.8
lake,lake,92,8856.2,11683.4
lake,lake,93,8859.5,11680.1
lake,lake,94,8862.8,11676.7
lake,lake,95,8866.3,11673.3
lake,lake,96,8870.0,11670.0
lake,lake,97,8873.8,11666.7
lake,lake,98,8877.8,11663.3
lake,lake,99,8882.0,11659.9
lake,lake,100,8886.2,11656.4
lake,lake,101,8890.6,11653.0
lake,lake,102,8895.2,11649.5
lake,lake,103,8899.8,11646.1
lake,lake,104,8904.4,11642.6
lake,lake,105,8909.2,11639.1
lake,lake,106,8914.0,11635.7
lake,lake,107,8918.9,11632.2
lake,lake,108,8923.8,11628.8
lake,lake,109,8928.7,11625.3
lake,lake,110,8933.6,11621.9
lake,lake,111,8938.5,11618.5
lake,lake,112,8943.3,11615.2
lake,lake,113,8948.2,11611.9
lake,lake,114,8953.0,11608.6
lake,lake,115,8957.7,11605.4
lake,lake,116,8962.4,11602.2
lake,lake,117,8966.9,11599.0
lake,lake,118,8971.4,11596.0
lake,lake,119,8975.8,11593.0
lake,lake,120,8980.0,11590.0
lake,lake,121,8984.2,11587.1
lake,lake,122,8988.5,11584.3
lake,lake,123,8992.8,11581.6
lake,lake,124,8997.2,11579.0
lake,lake,125,9001.6,11576.4
lake,lake,126,9006.0,11573.8
lake,lake,127,9010.4,11571.3
lake,lake,128,9014.8,11568.9
lake,lake,129,9019.2,11566.5
lake,lake,130,9023.5,11564.1
lake,lake,131,9027.7,11561.7
lake,lake,132,9031.9,11559.4
lake,lake,133,9035.9,11557.0
lake,lake,134,9039.9,11554.7
lake,lake,135,9043.7,11552.4
lake,lake,136,9047.4,11550.0
lake,lake,137,9050.9,11547.6
lake,lake,138,9054.3,11545.2
lake,lake,139,9057.5,11542.8
lake,lake,140,9060.4,11540.3
lake,lake,141,9063.2,11537.8
lake,lake,142,9065.7,11535.3
lake,lake,143,9068.0,11532.7
lake,lake,144,9070.0,11530.0
lake,lake,145,9071.7,11527.3
lake,lake,146,9073.2,11524.6
lake,lake,147,9074.5,11522.0
lake,lake,148,9075.6,11519.4
lake,lake,149,9076.4,11516.8
lake,lake,150,9077.0,11514.1
lake,lake,151,9077.5,11511.5
lake,lake,152,9077.8,11508.9
lake,lake,153,9077.9,11506.2
lake,lake,154,9077.9,11503.6
lake,lake,155,9077.8,11500.9
lake,lake,156,9077.5,11498.1
lake,lake,157,9077.1,11495.3
lake,lake,158,9076.7,11492.5
lake,lake,159,9076.2,11489.6
lake,lake,160,9075.6,11486.7
lake,lake,161,9074.9,11483.6
lake,lake,162,9074.2,11480.5
lake,lake,163,9073.5,11477.4
lake,lake,164,9072.8,11474.1
lake,lake,165,9072.1,11470.7
lake,lake,166,9071.3,11467.3
lake,lake,167,9070.6,11463.7
lake,lake,168,9070.0,11460.0
lake,lake,169,9069.3,11456.1
lake,lake,170,9068.4,11452.1
lake,lake,171,9067.4,11447.9
lake,lake,172,9066.3,11443.5
lake,lake,173,9065.0,11439.0
lake,lake,174,9063.7,11434.4
lake,lake,175,9062.2,11429.6
lake,lake,176,9060.7,11424.8
lake,lake,177,9059.2,11419.9
lake,lake,178,9057.6,11415.0
lake,lake,179,9056.0,11410.0
lake,lake,180,9054.4,11405.0
lake,lake,181,9052.8,11400.0
lake,lake,182,9051.2,11395.0
lake,lake,183,9049.6,11390.1
lake,lake,184,9048.1,11385.2
lake,lake,185,9046.7,11380.4
lake,lake,186,9045.4,11375.6
lake,lake,187,9044.2,11371.0
lake,lake,188,9043.0,11366.5
lake,lake,189,9042.0,11362.1
lake,lake,190,9041.2,11357.9
lake,lake,191,9040.5,11353.9
lake,lake,192,9040.0,11350.0
lake,lake,193,9039.6,11346.3
lake,lake,194,9039.3,11342.8
lake,lake,195,9039.1,11339.4
lake,lake,196,9038.9,11336.1
lake,lake,197,9038.8,11333.0
lake,lake,198,9038.8,11329.9
lake,lake,199,9038.8,11327.0
lake,lake,200,9038.9,11324.1
lake,lake,201,9039.1,11321.3
lake,lake,202,9039.3,11318.5
lake,lake,203,9039.6,11315.8
lake,lake,204,9040.0,11313.1
lake,lake,205,9040.5,11310.5
lake,lake,206,9041.0,11307.9
lake,lake,207,9041.6,11305.2
lake,lake,208,9042.2,11302.6
lake,lake,209,9043.0,11299.9
lake,lake,210,9043.8,11297.3
lake,lake,211,9044.6,11294.5
lake,lake,212,9045.6,11291.8
lake,lake,213,9046.6,11289.0
lake,lake,214,9047.6,11286.1
lake,lake,215,9048.8,11283.1
lake,lake,216,9050.0,11280.0
lake,lake,217,9051.3,11276.8
lake,lake,218,9052.7,11273.6
lake,lake,219,9054.3,11270.3
lake,lake,220,9055.9,11266.9
lake,lake,221,9057.6,11263.5
lake,lake,222,9059.5,11260.0
lake,lake,223,9061.4,11256.5
lake,lake,224,9063.3,11253.0
lake,lake,225,9065.4,11249.4
lake,lake,226,9067.5,11245.9
lake,lake,227,9069.7,11242.3
lake,lake,228,9071.9,11238.8
lake,lake,229,9074.1,11235.2
lake,lake,230,9076.4,11231.7
lake,lake,231,9078.8,11228.2
lake,lake,232,9081.1,11224.8
lake,lake,233,9083.5,11221.4
lake,lake,234,9085.9,11218.1
lake,lake,235,9088.2,11214.9
lake,lake,236,9090.6,11211.7
lake,lake,237,9093.0,11208.6
lake,lake,238,9095.4,11205.6
lake,lake,239,9097.7,11202.8
lake,lake,240,9100.0,11200.0
lake,lake,241,9102.5,11197.4
lake,lake,242,9105.2,11195.1
lake,lake,243,9108.3,11192.9
lake,lake,244,9111.5,11191.0
lake,lake,245,9114.9,11189.2
lake,lake,246,9118.5,11187.5
lake,lake,247,9122.2,11185.9
lake,lake,248,9125.9,11184.4
lake,lake,249,9129.7,11183.0
lake,lake,250,9133.4,11181.6
lake,lake,251,9137.1,11180.2
lake,lake,252,9140.6,11178.8
lake,lake,253,9144.0,11177.3
lake,lake,254,9147.3,11175.7
lake,lake,255,9150.2,11174.0
lake,lake,256,9153.0,11172.2
lake,lake,257,9155.4,11170.3
lake,lake,258,9157.4,11168.1
lake,lake,259,9159.1,11165.8
lake,lake,260,9160.3,11163.2
lake,lake,261,9161.0,11160.4
lake,lake,262,9161.3,11157.2
lake,lake,263,9160.9,11153.8
lake,lake,264,9160.0,11150.0
lake,lake,265,9158.4,11145.9
lake,lake,266,9156.2,11141.4
lake,lake,267,9153.3,11136.7
lake,lake,268,9150.0,11131.6
lake,lake,269,9146.1,11126.4
lake,lake,270,9141.7,11120.9
lake,lake,271,9137.0,11115.1
lake,lake,272,9131.9,11109.3
lake,lake,273,9126.4,11103.2
lake,lake,274,9120.7,11097.0
lake,lake,275,9114.8,11090.7
lake,lake,276,9108.8,11084.4
lake,lake,277,9102.6,11077.9
lake,lake,278,9096.3,11071.5
lake,lake,279,9090.0,11065.0
lake,lake,280,9083.7,11058.5
lake,lake,281,9077.5,11052.1
lake,lake,282,9071.4,11045.7
lake,lake,283,9065.5,11039.4
lake,lake,284,9059.8,11033.2
lake,lake,285,9054.3,11027.2
lake,lake,286,9049.2,11021.3
lake,lake,287,9044.4,11015.5
lake,lake,288,9040.0,11010.0
lake,lake,289,9035.8,11004.6
lake,lake,290,9031.4,10999.1
lake,lake,291,9027.0,10993.6
lake,lake,292,9022.5,10988.0
lake,lake,293,9018.0,10982.5
lake,lake,294,9013.4,10977.0
lake,lake,295,9008.9,10971.4
lake,lake,296,9004.4,10965.9
lake,lake,297,9000.0,10960.5
lake,lake,298,8995.7,10955.0
lake,lake,299,8991.5,10949.7
lake,lake,300,8987.5,10944.4
lake,lake,301,8983.6,10939.2
lake,lake,302,8980.0,10934.0
lake,lake,303,8976.5,10929.0
lake,lake,304,8973.3,10924.1
lake,lake,305,8970.4,10919.3
lake,lake,306,8967.8,10914.6
lake,lake,307,8965.5,10910.1
lake,lake,308,8963.6,10905.7
lake,lake,309,8962.1,10901.5
lake,lake,310,8960.9,10897.5
lake,lake,311,8960.2,10893.6
lake,lake,312,8960.0,10890.0
lake,lake,313,8960.3,10886.6
lake,lake,314,8961.2,10883.4
lake,lake,315,8962.6,10880.5
lake,lake,316,8964.5,10877.8
lake,lake,317,8966.9,10875.4
lake,lake,318,8969.7,10873.0
lake,lake,319,8972.8,10870.9
lake,lake,320,8976.3,10868.9
lake,lake,321,8980.0,10867.0
lake,lake,322,8984.0,10865.2
lake,lake,323,8988.2,10863.5
lake,lake,324,8992.5,10861.9
lake,lake,325,8996.9,10860.3
lake,lake,326,9001.4,10858.7
lake,lake,327,9005.9,10857.1
lake,lake,328,9010.4,10855.6
lake,lake,329,9014.8,10853.9
lake,lake,330,9019.1,10852.3
lake,lake,331,9023.2,10850.5
lake,lake,332,9027.1,10848.7
lake,lake,333,9030.8,10846.7
lake,lake,334,9034.2,10844.6
lake,lake,335,9037.3,10842.4
lake,lake,336,9040.0,10840.0
lake,lake,337,9042.4,10837.5
lake,lake,338,9044.6,10834.9
lake,lake,339,9046.7,10832.3
lake,lake,340,9048.6,10829.6
lake,lake,341,9050.4,10826.9
lake,lake,342,9052.1,10824.1
lake,lake,343,9053.7,10821.3
lake,lake,344,9055.2,10818.5
lake,lake,345,9056.6,10815.7
lake,lake,346,9058.0,10812.8
lake,lake,347,9059.3,10809.8
lake,lake,348,9060.6,10806.9
lake,lake,349,9061.9,10803.9
lake,lake,350,9063.2,10800.9
lake,lake,351,9064.6,10797.9
lake,lake,352,9065.9,10794.8
lake,lake,353,9067.3,10791.8
lake,lake,354,9068.8,10788.7
lake,lake,355,9070.4,10785.6
lake,lake,356,9072.1,10782.5
lake,lake,357,9073.8,10779.4
lake,lake,358,9075.7,10776.2
lake,lake,359,9077.8,10773.1
lake,lake,360,9080.0,10770.0
lake,lake,361,9082.4,10766.8
lake,lake,362,9084.8,10763.6
lake,lake,363,9087.5,10760.2
lake,lake,364,9090.2,10756.8
lake,lake,365,9093.0,10753.3
lake,lake,366,9095.9,10749.8
lake,lake,367,9098.8,10746.2
lake,lake,368,9101.9,10742.6
lake,lake,369,9104.9,10739.0
lake,lake,370,9108.1,10735.4
lake,lake,371,9111.2,10731.7
lake,lake,372,9114.4,10728.1
lake,lake,373,9117.6,10724.5
lake,lake,374,9120.7,10721.0
lake,lake,375,9123.9,10717.5
lake,lake,376,9127.0,10714.1
lake,lake,377,9130.1,10710.7
lake,lake,378,9133.2,10707.4
lake,lake,379,9136.2,10704.2
lake,lake,380,9139.1,10701.1
lake,lake,381,9142.0,10698.2
lake,lake,382,9144.8,10695.3
lake,lake,383,9147.4,10692.6
lake,lake,384,9150.0,10690.0
lake,lake,385,9152.5,10687.6
lake,lake,386,9155.0,10685.4
lake,lake,387,9157.5,10683.4
lake,lake,388,9160.0,10681.6
lake,lake,389,9162.4,10679.9
lake,lake,390,9164.8,10678.4
lake,lake,391,9167.3,10676.9
lake,lake,392,9169.6,10675.6
lake,lake,393,9172.0,10674.3
lake,lake,394,9174.3,10673.0
lake,lake,395,9176.5,10671.8
lake,lake,396,9178.8,10670.6
lake,lake,397,9180.9,10669.4
lake,lake,398,9183.0,10668.2
lake,lake,399,9185.1,10666.9
lake,lake,400,9187.0,10665.6
lake,lake,401,9188.9,10664.1
lake,lake,402,9190.8,10662.6
lake,lake,403,9192.5,10660.9
lake,lake,404,9194.2,10659.1
lake,lake,405,9195.8,10657.1
lake,lake,406,9197.3,10655.0
lake,lake,407,9198.7,10652.6
lake,lake,408,9200.0,10650.0
lake,lake,409,9201.1,10647.2
lake,lake,410,9202.1,10644.1
lake,lake,411,9202.8,10640.9
lake,lake,412,9203.4,10637.4
lake,lake,413,9203.8,10633.8
lake,lake,414,9204.1,10630.1
lake,lake,415,9204.3,10626.2
lake,lake,416,9204.4,10622.2
lake,lake,417,9204.5,10618.2
lake,lake,418,9204.5,10614.0
lake,lake,419,9204.4,10609.8
lake,lake,420,9204.4,10605.6
lake,lake,421,9204.3,10601.4
lake,lake,422,9204.3,10597.2
lake,lake,423,9204.3,10593.0
lake,lake,424,9204.4,10588.9
lake,lake,425,9204.6,10584.8
lake,lake,426,9204.9,10580.9
lake,lake,427,9205.3,10577.0
lake,lake,428,9205.9,10573.3
lake,lake,429,9206.6,10569.7
lake,lake,430,9207.5,10566.3
lake,lake,431,9208.7,10563.0
lake,lake,432,9210.0,10560.0
lake,lake,433,9211.7,10557.2
lake,lake,434,9213.8,10554.8
lake,lake,435,9216.2,10552.6
lake,lake,436,9219.0,10550.6
lake,lake,437,9222.0,10548.9
lake,lake,438,9225.2,10547.3
lake,lake,439,9228.7,10545.8
lake,lake,440,9232.2,10544.4
lake,lake,441,9235.9,10543.2
lake,lake,442,9239.6,10541.9
lake,lake,443,9243.2,10540.7
lake,lake,444,9246.9,10539.4
lake,lake,445,9250.4,10538.0
lake,lake,446,9253.8,10536.6
lake,lake,447,9257.0,10535.0
lake,lake,448,9260.0,10533.3
lake,lake,449,9262.7,10531.4
lake,lake,450,9265.1,10529.3
lake,lake,451,9267.1,10526.9
lake,lake,452,9268.7,10524.2
lake,lake,453,9269.8,10521.2
lake,lake,454,9270.4,10517.9
lake,lake,455,9270.5,10514.2
lake,lake,456,9270.0,10510.0
lake,lake,457,9268.9,10505.5
lake,lake,458,9267.4,10500.6
lake,lake,459,9265.4,10495.5
lake,lake,460,9263.1,10490.0
lake,lake,461,9260.3,10484.4
lake,lake,462,9257.2,10478.4
lake,lake,463,9253.7,10472.3
lake,lake,464,9250.0,10465.9
lake,lake,465,9246.0,10459.4
lake,lake,466,9241.7,10452.7
lake,lake,467,9237.2,10445.8
lake,lake,468,9232.5,10438.8
lake,lake,469,9227.6,10431.6
lake,lake,470,9222.6,10424.4
lake,lake,471,9217.5,10417.0
lake,lake,472,9212.2,10409.6
lake,lake,473,9206.9,10402.2
lake,lake,474,9201.6,10394.7
lake,lake,475,9196.2,10387.2
lake,lake,476,9190.8,10379.7
lake,lake,477,9185.5,10372.2
lake,lake,478,9180.2,10364.7
lake,lake,479,9175.1,10357.3
lake,lake,480,9170.0,10350.0
lake,lake,481,9164.7,10342.5
lake,lake,482,9159.0,10334.7
lake,lake,483,9152.8,10326.5
lake,lake,484,9146.3,10318.1
lake,lake,485,9139.5,10309.5
lake,lake,486,9132.4,10300.6
lake,lake,487,9125.2,10291.7
lake,lake,488,9117.8,10282.6
lake,lake,489,9110.3,10273.5
lake,lake,490,9102.9,10264.4
lake,lake,491,9095.4,10255.3
lake,lake,492,9088.1,10246.2
lake,lake,493,9081.0,10237.4
lake,lake,494,9074.1,10228.6
lake,lake,495,9067.4,10220.1
lake,lake,496,9061.1,10211.9
lake,lake,497,9055.2,10203.9
lake,lake,498,9049.8,10196.2
lake,lake,499,9044.8,10189.0
lake,lake,500,9040.5,10182.2
lake,lake,501,9036.8,10175.8
lake,lake,502,9033.7,10170.0
lake,lake,503,9031.5,10164.7
lake,lake,504,9030.0,10160.0
lake,lake,505,9029.2,10155.9
lake,lake,506,9029.0,10152.2
lake,lake,507,9029.4,10149.0
lake,lake,508,9030.2,10146.1
lake,lake,509,9031.5,10143.7
lake,lake,510,9033.3,10141.6
lake,lake,511,9035.5,10139.9
lake,lake,512,9038.1,10138.5
lake,lake,513,9041.2,10137.4
lake,lake,514,9044.6,10136.6
lake,lake,515,9048.4,10136.0
lake,lake,516,9052.5,10135.6
lake,lake,517,9056.9,10135.5
lake,lake,518,9061.6,10135.5
lake,lake,519,9066.6,10135.6
lake,lake,520,9071.9,10135.9
lake,lake,521,9077.3,10136.3
lake,lake,522,9083.0,10136.8
lake,lake,523,9088.8,10137.3
lake,lake,524,9094.8,10137.9
lake,lake,525,9101.0,10138.5
lake,lake,526,9107.2,10139.0
lake,lake,527,9113.6,10139.5
lake,lake,528,9120.0,10140.0
lake,lake,529,9126.7,10140.6
lake,lake,530,9134.0,10141.4
lake,lake,531,9141.8,10142.4
lake,lake,532,9150.1,10143.7
lake,lake,533,9158.7,10145.1
lake,lake,534,9167.7,10146.7
lake,lake,535,9177.1,10148.5
lake,lake,536,9186.7,10150.4
lake,lake,537,9196.5,10152.4
lake,lake,538,9206.5,10154.4
lake,lake,539,9216.6,10156.6
lake,lake,540,9226.9,10158.8
lake,lake,541,9237.1,10160.9
lake,lake,542,9247.4,10163.1
lake,lake,543,9257.6,10165.3
lake,lake,544,9267.8,10167.4
lake,lake,545,9277.8,10169.5
lake,lake,546,9287.6,10171.4
lake,lake,547,9297.2,10173.2
lake,lake,548,9306.5,10175.0
lake,lake,549,9315.4,10176.5
lake,lake,550,9324.1,10177.9
lake,lake,551,9332.3,10179.0
lake,lake,552,9340.0,10180.0
lake,lake,553,9347.4,10180.8
lake,lake,554,9354.5,10181.4
lake,lake,555,9361.3,10182.0
lake,lake,556,9368.0,10182.4
lake,lake,557,9374.4,10182.8
lake,lake,558,9380.6,10183.0
lake,lake,559,9386.7,10183.2
lake,lake,560,9392.6,10183.3
lake,lake,561,9398.4,10183.4
lake,lake,562,9404.0,10183.3
lake,lake,563,9409.5,10183.3
lake,lake,564,9415.0,10183.1
lake,lake,565,9420.4,10182.9
lake,lake,566,9425.7,10182.7
lake,lake,567,9431.0,10182.5
lake,lake,568,9436.3,10182.2
lake,lake,569,9441.6,10181.9
lake,lake,570,9446.9,10181.6
lake,lake,571,9452.2,10181.3
lake,lake,572,9457.6,10181.0
lake,lake,573,9463.0,10180.8
lake,lake,574,9468.6,10180.5
lake,lake,575,9474.2,10180.2
lake,lake,576,9480.0,10180.0
lake,lake,577,9486.0,10179.8
lake,lake,578,9492.1,10179.8
lake,lake,579,9498.5,10179.8
lake,lake,580,9505.1,10179.8
lake,lake,581,9511.7,10179.9
lake,lake,582,9518.5,10180.1
lake,lake,583,9525.4,10180.2
lake,lake,584,9532.2,10180.4
lake,lake,585,9539.1,10180.5
lake,lake,586,9545.9,10180.6
lake,lake,587,9552.7,10180.6
lake,lake,588,9559.4,10180.6
lake,lake,589,9565.9,10180.5
lake,lake,590,9572.3,10180.3
lake,lake,591,9578.5,10180.0
lake,lake,592,9584.4,10179.6
lake,lake,593,9590.1,10179.1
lake,lake,594,9595.5,10178.4
lake,lake,595,9600.6,10177.5
lake,lake,596,9605.3,10176.4
lake,lake,597,9609.7,10175.1
lake,lake,598,9613.6,10173.7
lake,lake,599,9617.0,10172.0
lake,lake,600,9620.0,10170.0
lake,lake,601,9622.4,10167.7
lake,lake,602,9624.2,10165.2
lake,lake,603,9625.5,10162.3
lake,lake,604,9626.3,10159.2
lake,lake,605,9626.7,10155.8
lake,lake,606,9626.6,10152.2
lake,lake,607,9626.3,10148.4
lake,lake,608,9625.6,10144.4
lake,lake,609,9624.6,10140.4
lake,lake,610,9623.4,10136.1
lake,lake,611,9622.1,10131.9
lake,lake,612,9620.6,10127.5
lake,lake,613,9619.1,10123.1
lake,lake,614,9617.5,10118.7
lake,lake,615,9615.9,10114.3
lake,lake,616,9614.4,10110.0
lake,lake,617,9613.0,10105.7
lake,lake,618,9611.8,10101.6
lake,lake,619,9610.7,10097.5
lake,lake,620,9609.9,10093.6
lake,lake,621,9609.4,10089.9
lake,lake,622,9609.2,10086.4
lake,lake,623,9609.4,10083.1
lake,lake,624,9610.0,10080.0
lake,lake,625,9610.9,10077.2
lake,lake,626,9612.1,10074.6
lake,lake,627,9613.4,10072.2
lake,lake,628,9615.0,10069.9
lake,lake,629,9616.7,10067.8
lake,lake,630,9618.5,10065.9
lake,lake,631,9620.5,10064.0
lake,lake,632,9622.6,10062.2
lake,lake,633,9624.8,10060.5
lake,lake,634,9627.1,10058.9
lake,lake,635,9629.5,10057.2
lake,lake,636,9631.9,10055.6
lake,lake,637,9634.3,10054.0
lake,lake,638,9636.8,10052.4
lake,lake,639,9639.3,10050.7
lake,lake,640,9641.9,10048.9
lake,lake,641,9644.3,10047.0
lake,lake,642,9646.8,10045.1
lake,lake,643,9649.2,10043.0
lake,lake,644,9651.6,10040.8
lake,lake,645,9653.8,10038.4
lake,lake,646,9656.0,10035.8
lake,lake,647,9658.1,10033.0
lake,lake,648,9660.0,10030.0
lake,lake,649,9662.0,10026.8
lake,lake,650,9664.1,10023.6
lake,lake,651,9666.4,10020.3
lake,lake,652,9668.9,10016.9
lake,lake,653,9671.4,10013.5
lake,lake,654,9674.0,10009.9
lake,lake,655,9676.6,10006.3
lake,lake,656,9679.3,10002.6
lake,lake,657,9681.9,9998.8
lake,lake,658,9684.5,9994.9
lake,lake,659,9687.0,9990.9
lake,lake,660,9689.4,9986.9
lake,lake,661,9691.6,9982.7
lake,lake,662,9693.8,9978.5
lake,lake,663,9695.7,9974.1
lake,lake,664,9697.4,9969.6
lake,lake,665,9698.9,9965.1
lake,lake,666,9700.1,9960.4
lake,lake,667,9701.0,9955.6
lake,lake,668,9701.6,9950.7
lake,lake,669,9701.8,9945.7
lake,lake,670,9701.6,9940.6
lake,lake,671,9701.0,9935.4
lake,lake,672,9700.0,9930.0
lake,lake,673,9698.4,9924.5
lake,lake,674,9696.3,9918.7
lake,lake,675,9693.7,9912.8
lake,lake,676,9690.5,9906.7
lake,lake,677,9686.9,9900.4
lake,lake,678,9683.0,9894.0
lake,lake,679,9678.7,9887.4
lake,lake,680,9674.1,9880.7
lake,lake,681,9669.2,9874.0
lake,lake,682,9664.2,9867.1
lake,lake,683,9659.0,9860.1
lake,lake,684,9653.8,9853.1
lake,lake,685,9648.4,9846.1
lake,lake,686,9643.1,9839.0
lake,lake,687,9637.8,9831.9
lake,lake,688,9632.6,9824.8
lake,lake,689,9627.5,9817.7
lake,lake,690,9622.7,9810.7
lake,lake,691,9618.0,9803.7
lake,lake,692,9613.7,9796.8
lake,lake,693,9609.6,9789.9
lake,lake,694,9606.0,9783.2
lake,lake,695,9602.8,9776.5
lake,lake,696,9600.0,9770.0
lake,lake,697,9597.6,9763.5
lake,lake,698,9595.3,9756.8
lake,lake,699,9593.1,9750.1
lake,lake,700,9591.1,9743.3
lake,lake,701,9589.2,9736.4
lake,lake,702,9587.5,9729.5
lake,lake,703,9585.9,9722.5
lake,lake,704,9584.4,9715.6
lake,lake,705,9583.1,9708.6
lake,lake,706,9581.9,9701.7
lake,lake,707,9580.9,9694.9
lake,lake,708,9580.0,9688.1
lake,lake,709,9579.2,9681.5
lake,lake,710,9578.6,9674.9
lake,lake,711,9578.1,9668.5
lake,lake,712,9577.8,9662.2
lake,lake,713,9577.6,9656.1
lake,lake,714,9577.5,9650.2
lake,lake,715,9577.6,9644.5
lake,lake,716,9577.8,9639.1
lake,lake,717,9578.1,9633.9
lake,lake,718,9578.6,9629.0
lake,lake,719,9579.2,9624.3
lake,lake,720,9580.0,9620.0
lake,lake,721,9581.0,9616.1
lake,lake,722,9582.5,9612.7
lake,lake,723,9584.3,9609.8
lake,lake,724,9586.4,9607.3
lake,lake,725,9588.8,9605.1
lake,lake,726,9591.5,9603.3
lake,lake,727,9594.4,9601.7
lake,lake,728,9597.4,9600.4
lake,lake,729,9600.6,9599.2
lake,lake,730,9603.9,9598.2
lake,lake,731,9607.2,9597.2
lake,lake,732,9610.6,9596.2
lake,lake,733,9614.0,9595.3
lake,lake,734,9617.3,9594.3
lake,lake,735,9620.6,9593.1
lake,lake,736,9623.7,9591.9
lake,lake,737,9626.7,9590.4
lake,lake,738,9629.5,9588.6
lake,lake,739,9632.0,9586.5
lake,lake,740,9634.3,9584.1
lake,lake,741,9636.3,9581.3
lake,lake,742,9637.9,9578.0
