# generated from db/design.db — do not edit by hand
# the ladder: an upgrade IS the next level's build, with its own labour and its own materials
# labor_days are ТРУДОДНИ — the same unit as pay (labor-payment §2), not a duration: how long a build takes follows from the brigade
# build_class is the template the recipe was expanded from; it is informational, the recipe itself is in unit_level_cost.csv
# max_crew: how many builders fit on the site at once. It belongs to the CLASS — what limits the crew is the size of the thing being built — and is resolved here the same way labor_days is. Empty where nothing is built (construction design §8)
# a level with no class and no labour is not built by the player
# wear_years_*: years from new to fully worn on THIS step, resolved from its build class the same way max_crew is. in_use is the SHORTER of the two: work consumes a building and standing still preserves it (unit rules §15). The unit's wear_factor multiplies the DAILY SHARE, not the years: a faster pace is a SHORTER life, so a byre at 1.6 wears out in 1/1.6 of its class term
# wear_factor here is the STEP's own multiplier, and it multiplies the unit's: pace = unit.wear_factor * level.wear_factor. Both point the same way -- higher is faster is shorter-lived -- so the product needs no caveat. 1.0 is «this step changes nothing», which is why it is written out rather than left empty: an empty cell in a column of multipliers reads as zero to a careless parser, and zero would mean a building that never wears
unit,level,era,labor_days,build_class,max_crew,storage_capacity_t,livestock_capacity_head,wear_years_idle,wear_years_in_use,wear_factor
hospital,1,3,600,brick_mid,16,,,90,60,1
kindergarten,1,2,600,brick_mid,16,,,90,60,1
kindergarten,2,2,300,brick_mid_ext,12,,,90,60,1
selpo,1,1,120,wood_small,8,,,50,30,1.1
canteen,1,2,600,brick_mid,16,,,90,60,1
canteen,2,3,900,brick_large,20,,,100,65,1
buffet,1,2,300,brick_small,10,,,80,55,1
restaurant,1,3,600,brick_mid,16,,,90,60,1
summer_veranda,1,3,600,brick_mid,16,,,90,60,1
small_canteen,1,2,300,brick_small,10,,,80,55,1
field_canteen,1,1,120,wood_small,8,,,50,30,1.1
beer_stall,1,2,300,brick_small,10,,,80,55,1
road_canteen,1,3,600,brick_mid,16,,,90,60,1
bathhouse,1,1,120,wood_small,8,,,50,30,1.1
bathhouse,2,1,70,wood_small_ext,6,,,50,30,1
barter_place,1,1,120,wood_small,8,,,50,30,1.1
kolkhoz_market,1,2,300,brick_small,10,,,80,55,1
roadside_market,1,3,,,,,,,,1
school_sports_ground,1,2,0,plot,,,,,,1
stadium,1,1,30,earthwork,8,,,60,40,1
stadium,2,1,40,shelter,5,,,30,18,1
stadium,3,2,120,wood_small,8,,,50,30,1
stadium,4,3,120,wood_small,8,,,50,30,1
pioneer_camp,1,2,40,shelter,5,,,30,18,1
pioneer_camp,2,2,250,wood_large,12,,,55,32,1.1
pioneer_camp,3,3,300,brick_mid_ext,12,,,90,60,1
rest_house,1,3,900,brick_large,20,,,100,65,1
rest_house,2,3,700,concrete_ext,16,,,120,80,1
ski_slope,1,3,0,plot,,,,,,1
registry_office,1,2,300,brick_small,10,,,80,55,1
registry_office,2,2,150,brick_small_ext,8,,,80,55,1
police_post,1,2,120,wood_small,8,,,50,30,1.1
police_post,2,3,300,brick_mid_ext,12,,,90,60,1
agricultural_college,1,3,600,brick_mid,16,,,90,60,1
horse_yard,1,1,40,shelter,5,,20,30,18,1
horse_yard,2,1,250,wood_large,12,,60,55,32,1
horse_yard,3,2,600,brick_mid,16,,120,90,60,1
mts,1,2,600,brick_mid,16,,,90,60,1
mts,2,2,150,equipment,4,,,35,15,1
mts,3,3,300,brick_mid_ext,12,,,90,60,1
mts,4,3,150,equipment,4,,,35,15,1
machine_park,1,2,30,earthwork,8,,,60,40,1
machine_park,2,2,60,gravel_pad,8,,,50,30,1
bus_stop,1,3,600,brick_mid,16,,,90,60,1
farm_stop,1,1,120,wood_small,8,,,50,30,1.1
well,1,1,0,plot,,,,,,1
substation,1,1,300,brick_small,10,,,80,55,1
power_line,1,1,0,plot,,,,,,1
road,1,1,0,plot,,,,,,1
road,2,1,60,gravel_pad,8,,,50,30,1
road,3,2,120,concrete_slab,10,,,90,60,1
bridge,1,1,120,wood_small,8,,,50,30,1
phone_line,1,2,300,brick_small,10,,,80,55,1
call_office,1,2,300,brick_small,10,,,80,55,1
street_lamp,1,2,0,plot,,,,,,1
old_house,1,1,,wood_small,8,,,50,30,1.1
wooden_house,1,1,70,wood_tiny,5,,,45,25,1
wooden_house,2,1,120,wood_small,8,,,50,30,1.1
wooden_house,3,2,120,wood_small,8,,,50,30,1
wooden_house,4,2,70,wood_small_ext,6,,,50,30,1
wooden_house,5,3,70,wood_small_ext,6,,,50,30,1
wooden_house,6,3,70,wood_small_ext,6,,,50,30,1
brick_house,1,2,300,brick_small,10,,,80,55,1
brick_house,2,2,150,brick_small_ext,8,,,80,55,1
brick_house,3,3,150,brick_small_ext,8,,,80,55,1
brick_house,4,3,150,brick_small_ext,8,,,80,55,1
barrack,1,1,120,wood_small,8,,,50,30,1.1
specialist_dorm,1,2,300,brick_small,10,,,80,55,1
builder_dorm,1,2,300,brick_small,10,,,80,55,1
visitor_dorm,1,2,300,brick_small,10,,,80,55,1
fire_post,1,2,120,wood_small,8,,,50,30,1.1
fire_post,2,3,600,brick_mid,16,,,90,60,1
farm_office,1,1,120,wood_small,8,,,50,30,1
farm_office,2,2,600,brick_mid,16,,,90,60,1
farm_office,3,3,900,brick_large,20,,,100,65,1
village_council,1,2,300,brick_small,10,,,80,55,1
cemetery,1,1,0,plot,,,,,,1
cemetery,2,1,40,shelter,5,,,30,18,1
cemetery,3,2,120,wood_small,8,,,50,30,1
propaganda,1,1,0,plot,,,,,,1
honour_board,1,1,0,plot,,,,,,1
church_store,1,1,,,,60,,,,1
manor_ruins,1,1,,,,,,,,1
water_intake,1,2,120,concrete_slab,10,,,90,60,1
water_standpipe,1,2,0,plot,,,,,,1
